iot.id,name,description,Datastreams
6660452e9efb8d1af6b3fc17,AC-ST-08-A-C02,วัดสุทธิวราราม-CAM2,
6660452ea81c7312ce348920,AC-ST-08-A-C01,วัดสุทธิวราราม-CAM1,
6660452f9efb8d1af6b3fc1c,AC-ST-08-A-C04,วัดสุทธิวราราม-CAM4,
6660452fa81c7312ce348929,AC-ST-08-A-C03,วัดสุทธิวราราม-CAM3,
666045309efb8d1af6b3fc1d,AC-ST-08-A-C5,วัดสุทธิวราราม-CAM5,
66604530a81c7312ce348930,AC-ST-08-A-C6,วัดสุทธิวราราม-CAM6,
66604531a81c7312ce348934,AC-ST-08-A-C7,วัดสุทธิวราราม-CAM7,
66604531a9ff45d3521c436c,AC-ST-08-A-C8,วัดสุทธิวราราม-CAM8,
66604532a81c7312ce34893a,AC-ST-08-A-C9,วัดสุทธิวราราม-CAM9,
66604533a9ff45d3521c4372,AC-ST-09-A-C01,วิทยาลัยอาชีวศึกษาเอี่ยมละออ A-CAM1,
66604533a9ff45d3521c4375,AC-ST-09-A-C02,วิทยาลัยอาชีวศึกษาเอี่ยมละออ A-CAM2,
66604534a81c7312ce348943,AC-ST-09-A-C03,วิทยาลัยอาชีวศึกษาเอี่ยมละออ A-CAM3,
66604535a9ff45d3521c437a,AC-ST-09-A-C04,วิทยาลัยอาชีวศึกษาเอี่ยมละออ A-CAM4,
66604535a9ff45d3521c437e,AC-ST-09-B-C01,วิทยาลัยอาชีวศึกษาเอี่ยมละออ B-CAM1,
66604536a9ff45d3521c4381,AC-ST-09-B-C02,วิทยาลัยอาชีวศึกษาเอี่ยมละออ B-CAM2,
666045379efb8d1af6b3fc30,AC-ST-09-B-C03,วิทยาลัยอาชีวศึกษาเอี่ยมละออ B-CAM3,
666045379efb8d1af6b3fc32,AC-ST-09-B-C04,วิทยาลัยอาชีวศึกษาเอี่ยมละออ B-CAM4,
666045389efb8d1af6b3fc38,AC-WT-02-A-C02,เกษมพิทยา-CAM2,
66604538a81c7312ce348950,AC-WT-02-A-C01,เกษมพิทยา-CAM1,
666045399efb8d1af6b3fc39,AC-WT-02-A-C03,เกษมพิทยา-CAM3,
6660453a9efb8d1af6b3fc3a,AC-WT-02-A-C04,เกษมพิทยา-CAM4,
6660453aa81c7312ce34895d,AC-WT-02-B-C01,เกษมพิทยา-CAM1,
6660453ba81c7312ce348960,AC-WT-02-B-C02,เกษมพิทยา-CAM2,
6660453ba9ff45d3521c4395,AC-WT-02-B-C03,เกษมพิทยา-CAM3,
6660453ca9ff45d3521c4398,AC-WT-02-B-C04,เกษมพิทยา-CAM4,
6660453d9efb8d1af6b3fc44,AC-WT-03-A-C01,คริสต์ธรรมศึกษา-CAM1,
6660453e9efb8d1af6b3fc46,AC-WT-03-A-C02,คริสต์ธรรมศึกษา-CAM2,
6660453ea9ff45d3521c43a1,AC-WT-03-A-C03,คริสต์ธรรมศึกษา-CAM3,
6660453f9efb8d1af6b3fc4a,AC-WT-03-A-C04,คริสต์ธรรมศึกษา-CAM4,
6660453fa81c7312ce348970,AC-WT-03-B-C01,คริสต์ธรรมศึกษา-CAM1,
666045409efb8d1af6b3fc4e,AC-WT-03-B-C02,คริสต์ธรรมศึกษา-CAM2,
66604541a81c7312ce348974,AC-WT-03-B-C04,คริสต์ธรรมศึกษา-CAM4,
66604541a9ff45d3521c43ac,AC-WT-03-B-C03,คริสต์ธรรมศึกษา-CAM3,
66604542a9ff45d3521c43b5,AC-WT-06-A-C01,วัฒนาวิทยาลัย-CAM1,
66604542a9ff45d3521c43b7,AC-WT-06-A-C02,วัฒนาวิทยาลัย-CAM2,
666045439efb8d1af6b3fc54,AC-WT-06-A-C03,วัฒนาวิทยาลัย-CAM3,
666045449efb8d1af6b3fc57,AC-WT-06-A-C04,วัฒนาวิทยาลัย-CAM4,
66604544a81c7312ce348980,AC-WT-06-B-C01,วัฒนาวิทยาลัย-CAM1,
666045459efb8d1af6b3fc5c,AC-WT-06-B-C02,วัฒนาวิทยาลัย-CAM2,
66604545a81c7312ce348986,AC-WT-06-B-C03,วัฒนาวิทยาลัย-CAM3,
66604546a9ff45d3521c43c5,AC-WT-06-B-C04,วัฒนาวิทยาลัย-CAM4,
66604547a9ff45d3521c43cb,AC-WT-10-B-C01,ศรีนครินทรวิโรฒ ประสานมิตร-CAM1,
66604547a9ff45d3521c43ce,AC-WT-10-B-C02,ศรีนครินทรวิโรฒ ประสานมิตร-CAM2,
66604548a81c7312ce348992,AC-WT-10-B-C03,ศรีนครินทรวิโรฒ ประสานมิตร-CAM3,
66604548a81c7312ce348994,AC-WT-10-B-C04,ศรีนครินทรวิโรฒ ประสานมิตร-CAM4,
666045499efb8d1af6b3fc64,AC-YW-09-A-C01,สารสาสน์เอกตรา-CAM1,
6660454a9efb8d1af6b3fc66,AC-YW-09-A-C03,สารสาสน์เอกตรา-CAM3,
6660454aa81c7312ce34899a,AC-YW-09-A-C02,สารสาสน์เอกตรา-CAM2,
6660454ba9ff45d3521c43de,AC-YW-09-A-C04,สารสาสน์เอกตรา-CAM4,
6660454ba9ff45d3521c43e0,AC-YW-09-B-C01,สารสาสน์เอกตรา B-CAM1,
6660454ca81c7312ce3489a9,AC-YW-09-B-C02,สารสาสน์เอกตรา B-CAM2,
6660454ca9ff45d3521c43e6,AC-YW-09-B-C03,สารสาสน์เอกตรา B-CAM3,
6660454da9ff45d3521c43ec,AC-YW-09-B-C04,สารสาสน์เอกตรา B-CAM4,
666046a89efb8d1af6b40177,CM2-BN-015-C02,ปากซอยสุขุมวิท 103 ถนนสุขุมวิท 103 (2)-CAM2,
666046a8a81c7312ce349054,CM2-BN-015-C01,ปากซอยสุขุมวิท 103 ถนนสุขุมวิท 103 (2)-CAM1,
666046a9a81c7312ce349060,CM2-BN-015-C04,ปากซอยสุขุมวิท 103 ถนนสุขุมวิท 103 (2)-CAM4,
666046a9a9ff45d3521c49fa,CM2-BN-015-C03,ปากซอยสุขุมวิท 103 ถนนสุขุมวิท 103 (2)-CAM3,
666046aa9efb8d1af6b4017c,CM2-BN-029-C04,ชุมชนวัดผ่องพลอยอนุสรณ์ (ลิขิต 2) (2)-CAM4,
666046aaa81c7312ce34906a,CM2-BN-031-C03,ชุมชนคลองบางนา (2)-CAM3,
666046ab9efb8d1af6b40180,CM2-BN-039-C03,ชุมชนวงศ์สวัสดิ์ (2)-CAM3,
666046aba9ff45d3521c4a03,CM2-BN-051-C03,ชุมชนหมู่บ้านจัดสรรยาสูบ (2)-CAM3,
666046ac9efb8d1af6b40185,CM2-BN-061-C04,ชุมชนรุ่งสว่าง (2)-CAM4,
666046aca81c7312ce349071,CM2-BN-061-C03,ชุมชนรุ่งสว่าง (2)-CAM3,
666046ad9efb8d1af6b4018a,CM2-BN-067-C02,ชุมชนพูนสิน (2)-CAM2,
666046ada81c7312ce34907b,CM2-BN-068-C01,ชุมชนซอยโปษยานนท์ (1)-CAM1,
666046ada81c7312ce34907f,CM2-BN-068-C02,ชุมชนซอยโปษยานนท์ (1)-CAM2,
666046aea81c7312ce349087,CM2-BN-068-C04,ชุมชนซอยโปษยานนท์ (1)-CAM4,
666046aea9ff45d3521c4a0c,CM2-BN-068-C03,ชุมชนซอยโปษยานนท์ (1)-CAM3,
666046afa81c7312ce34908c,CM2-BN-075-C01,ชุมชนสยามคอนโด 2 (2)-CAM1,
666046afa81c7312ce349091,CM2-BN-079-C01,หน้าห้างเซ็นทรัลบางนา ถนนบางนา-ตราด-CAM1,
666046b0a81c7312ce349097,CM2-BR-009-C01,ปากซอยปราโมทย์ 2 ตัดถนนมเหสักข์-CAM1,
666046b19efb8d1af6b40194,CM2-BR-009-C02,ปากซอยปราโมทย์ 2 ตัดถนนมเหสักข์-CAM2,
666046b1a81c7312ce34909e,CM2-BR-009-C03,ปากซอยปราโมทย์ 2 ตัดถนนมเหสักข์-CAM3,
666046b2a81c7312ce3490a2,CM2-BR-009-C04,ปากซอยปราโมทย์ 2 ตัดถนนมเหสักข์-CAM4,
666046b2a81c7312ce3490a6,CM2-BR-028-C01,ชุมชนซอยสันติภาพ (2)-CAM1,
666046b39efb8d1af6b4019c,CM2-BR-028-C02,ชุมชนซอยสันติภาพ (2)-CAM2,
666046b3a81c7312ce3490b0,CM2-BR-028-C03,ชุมชนซอยสันติภาพ (2)-CAM3,
666046b4a81c7312ce3490b2,CM2-BR-028-C04,ชุมชนซอยสันติภาพ (2)-CAM4,
666046b4a9ff45d3521c4a19,CM2-BR-033-C01,ชุมชนจอมสมบูรณ์ (1)-CAM1,
666046b5a81c7312ce3490b9,CM2-BR-033-C02,ชุมชนจอมสมบูรณ์ (1)-CAM2,
666046b5a81c7312ce3490bd,CM2-BR-033-C03,ชุมชนจอมสมบูรณ์ (1)-CAM3,
666046b6a81c7312ce3490c4,CM2-BR-052-C04,ชุมชนหลังโรงพยาบาลเลิดสิน (2)-CAM4,
666046b6a9ff45d3521c4a1c,CM2-BR-033-C04,ชุมชนจอมสมบูรณ์ (1)-CAM4,
666046b7a81c7312ce3490c6,CM2-BR-055-C01,ปากซอยศาลาแดง 1 ถนนศาลาแดง-CAM1,
666046b8a81c7312ce3490cb,CM2-BR-055-C02,ปากซอยศาลาแดง 1 ถนนศาลาแดง-CAM2,
666046b8a81c7312ce3490cc,CM2-BR-055-C03,ปากซอยศาลาแดง 1 ถนนศาลาแดง-CAM3,
666046b99efb8d1af6b401b4,CM2-BR-055-C04,ปากซอยศาลาแดง 1 ถนนศาลาแดง-CAM4,
666046b99efb8d1af6b401b8,CM2-BR-084-C02,ตลาดน้อย-CAM2,
666046b9a81c7312ce3490d4,CM2-BR-084-C01,ตลาดน้อย-CAM1,
666046ba9efb8d1af6b401bb,CM2-BR-084-C03,ตลาดน้อย-CAM3,
666046bb9efb8d1af6b401bd,CM2-BR-084-C04,ตลาดน้อย-CAM4,
666046bb9efb8d1af6b401bf,CM2-PK-001-C01,ซอย พึ่งมี 50 (นิรันทร์วิลล่า)-CAM1,
666046bd9efb8d1af6b401c2,CM2-PK-001-C02,ซอย พึ่งมี 50 (นิรันทร์วิลล่า)-CAM2,
666046bda81c7312ce3490ed,CM2-PK-001-C03,ซอย พึ่งมี 50 (นิรันทร์วิลล่า)-CAM3,
